"","state","fuel.efficiency","renewables","eliminate.mandatory.minimum","three.strikes","aca","guns.banassault","imm.amnesty","white.advantage","min.wage","garland","epa.carbon","imm.legal.daca","abortion.legal","abortion.only.rape.incest.life","abortion.illegal.after.20","abortion.hc.coverage.decline","abortion.no.federal.funds","abortion.always.illegal"
"36","Oklahoma",0.704677095165224,0.594478831728474,0.654965687191818,0.858737147882313,0.643853318862717,0.474979433685722,0.507149076031074,0.456595096618445,0.655948328314289,0.069859656958619,0.639694354283881,0.407614516417452,0.500045051164001,0.58258484117857,0.671367473594658,0.46064599256007,0.495358534583611,0.207760520385489
"37","Oregon",0.760355675541698,0.669555361759314,0.682881778482312,0.836353280281914,0.494552053144484,0.575121291616811,0.556336865108459,0.567156568569313,0.71821506971923,0.0913159636119361,0.72957018463326,0.517776321262332,0.664804948842537,0.462154792067401,0.537802611495433,0.359169519246339,0.376173367984976,0.147680555039069
"38","Pennsylvania",0.75396331394176,0.643429958477109,0.619088349585522,0.896047796691515,0.593176418441362,0.581569655675074,0.515360708433893,0.46831601835546,0.692665596902928,0.0646059859657129,0.706820532782188,0.395747208367296,0.590636382147759,0.542615340896855,0.637337625889411,0.392027729706135,0.429468058796762,0.156380173725412
"39","Rhode Island",0.76075596547325,0.688122496138503,0.669108648037916,0.857188026992264,0.516472560205505,0.655938737741565,0.551170739092665,0.568538924316818,0.752847822759141,0.0823505547628003,0.756134323167096,0.435281055580709,0.708646082414774,0.471704554516551,0.564634265819778,0.339677202536993,0.344679147123201,0.145351296232043
"40","South Carolina",0.732630375143843,0.634626241783802,0.59966798811728,0.903052760991136,0.65758254886374,0.544978356353689,0.496360274979809,0.424732346885251,0.638019462791381,0.0656679055825273,0.676348309538067,0.374832431886465,0.502816227093159,0.572052644303587,0.678495034012159,0.510287462600637,0.532150628777348,0.220311844870375
"41","South Dakota",0.734508919558384,0.599689910959899,0.623814616955277,0.890591576569503,0.647343731600241,0.47681172879492,0.503141691057259,0.43226983458591,0.61534188371843,0.0803096164916837,0.64588660136154,0.389918055120458,0.526895936697895,0.569254771885638,0.659726458525042,0.469116303840819,0.535735553362854,0.199233551402281
"42","Tennessee",0.727388437033346,0.606113848191825,0.619802230703806,0.896888399550175,0.659629318280639,0.498912156438611,0.481933460575902,0.419268650164755,0.655087973040156,0.0651527264467003,0.658304054475579,0.364867896086839,0.502895053048944,0.586615476835575,0.668677572674902,0.504434229907014,0.527078660324167,0.210597198427505
"43","Texas",0.712165959512646,0.643225144999461,0.663952740683465,0.847754571502096,0.568381243652514,0.588011217784802,0.552077743904809,0.588994340665345,0.735198823135413,0.0658394349582704,0.705431523923826,0.451710218378189,0.608376968273879,0.563183697460122,0.630467730918399,0.436202281546776,0.456724086920901,0.195114865649182
"44","Utah",0.714396388400615,0.614155858887157,0.671333637704426,0.854071679458194,0.63453269752769,0.492010918264824,0.54814235019472,0.480546144190818,0.618300815719038,0.0798661310888453,0.664443947968308,0.465202044371697,0.479929141615228,0.586210141759181,0.655224601068289,0.488246154839047,0.520026817093026,0.149365614753105
"45","Vermont",0.781807682584318,0.683650339273062,0.673629745632677,0.863647356947563,0.52290937630824,0.60747127669917,0.537413361925111,0.571792307700761,0.752448716670203,0.0916145213802769,0.765085549123845,0.476697134676369,0.716929712799838,0.437105361739066,0.525394961619738,0.286875641724161,0.325762555930494,0.126144335857119
"46","Virginia",0.745057084153516,0.676233252085107,0.660745066857128,0.868513114684657,0.570112545235031,0.586919131712005,0.559586510867952,0.548556850533991,0.707273860997654,0.0707691795926453,0.736894543163986,0.437582022138895,0.615632082568507,0.510246119814474,0.587898970115661,0.401161446495678,0.427631148260545,0.157244512534008
"47","Washington",0.753743564654282,0.688820423422503,0.678580824519985,0.837562194080788,0.460281128033178,0.592969132094112,0.579332038824461,0.593140257135609,0.749514756468073,0.0981236710851853,0.740310947988716,0.516811553710174,0.701110248993056,0.452531978339565,0.533135441617752,0.321643667490486,0.350598627256768,0.13429631208487
"48","West Virginia",0.721919689114194,0.568461443682924,0.605896714677363,0.895008749542858,0.643605127084551,0.419422174247272,0.45598913636597,0.373296521458718,0.643870672098059,0.0646097711041588,0.599693569680655,0.341517019723896,0.444937999543024,0.617941689942926,0.677967140724438,0.490101253366383,0.533659063873577,0.215320211553663
"49","Wisconsin",0.757944722307004,0.658683769173001,0.632950546511109,0.87819033550338,0.558930667887423,0.585495773141037,0.532024195128653,0.483794997395409,0.668036361622719,0.0724567098582199,0.720304081144695,0.437811247904789,0.603773318650129,0.5313889584452,0.585570511854112,0.380079121459646,0.42522408603268,0.145021272653089
"50","Wyoming",0.716330402505552,0.587689066731944,0.658351068165643,0.877509899565325,0.64748097118517,0.452402374345386,0.504695571665109,0.440006219086015,0.591636724280231,0.0903914641250753,0.614652387404078,0.413782812540366,0.504912422800668,0.598005073920429,0.667084298407252,0.496428566105798,0.540017887320715,0.186990669361005
